Customer_Name,Street_Address,City,State,Zipcode,Age,Income,Payment_History,Number_of_Open_Credit_Cards,Credit_Score,Total_Debt,State_FIPS,Region_FIPS
Kristy Solano,71253 Forest Dale All,Little Rock,AR,72215,45,106022,0.74,15,444,319951,5,3
Hernando Kerridge,51575 Hoepker Circle,Seattle,WA,98133,43,73424,0.98,2,765,465533,53,4
Inge Spensley,7 Killdeer Avenue,Largo,FL,33777,46,87365,1,6,317,265366,12,3
Nicolai Kempshall,38 3rd Pass,Charlottesvil,VA,22908,41,123557,1,12,301,442322,51,3
Jemmie Pietz,7 Sachs Court,Boston,MA,2298,64,34063,1,6,305,211541,25,1
Callida Lisciandro,0118 Hoffman Alley,Washington,DC,20409,80,108202,1,13,325,192992,11,3
Sergei Sand,74 Del Mar Alley,Topeka,KS,66606,28,69892,0.72,14,421,146307,20,2
Electra O'Sesnane,66475 Delaware Parkwa,Everett,WA,98206,64,119306,1,6,828,457177,53,4
Gayle Stamp,164 Melrose Parkway,Arlington,VA,22217,64,71793,0.75,3,484,363247,51,3
Ashlie Kinchlea,777 Grover Lane,Ann Arbor,MI,48107,59,53360,1,6,321,175419,26,2
Vania Altofts,225 Lukken Parkway,Van Nuys,CA,91406,66,70137,1,3,840,207657,6,4
Val Tripcony,47127 Trailsway Hill,Augusta,GA,30905,47,40940,0.92,2,717,400934,13,3
Kinny Wormstone,87 Old Gate Junction,Raleigh,NC,27690,73,60714,0.98,7,775,166384,37,3
Nichole Pye,79 Prairieview Park,Dallas,TX,75216,25,98482,1,1,841,355169,48,3
Torin O'Loughlin,92405 Hanover Center,Honolulu,HI,96805,49,35804,1,1,337,58246,15,4
Winnie Barthelemy,292 Bartelt Crossing,Rochester,NY,14652,63,145428,0.75,0,458,387429,36,1
Levy Grayley,36 Towne Junction,Austin,TX,78726,30,66549,1,3,346,224521,48,3
Solomon Cettell,5 Goodland Crossing,Dallas,TX,75379,66,129556,0.77,0,543,34070,48,3
Elonore Perillio,60 Loftsgordon Parkwa,Saint Louis,MO,63143,79,125675,0.99,12,810,359727,29,2
Gabrielle Vezey,354 Esker Hill,Wilkes Barre,PA,18768,47,135924,0.74,0,436,126801,42,1
Ulysses Colthurst,9925 Oakridge Way,Staten Island,NY,10310,26,116377,0.98,14,768,332655,36,1
Radcliffe Potzold,650 Green Street,Dallas,TX,75251,74,111429,0.78,2,559,386219,48,3
Ingrid Denisard,87612 Lakewood Garden,Trenton,NJ,8608,59,103126,0.88,5,678,492367,34,1
Vevay Sweetenham,97 Lindbergh Lane,Fredericksbur,VA,22405,44,75611,0.82,0,618,97265,51,3
Nefen Ollerhad,5357 Oakridge Avenue,White Plains,NY,10606,72,60463,0.88,12,683,394386,36,1
Silas Frame,09194 Vera Junction,Seattle,WA,98133,48,117339,0.99,11,809,226194,53,4
Felice Stoker,45247 Briar Crest Way,Santa Fe,NM,87505,34,148234,0.76,5,508,306575,35,4
Cherise Larking,96 Anzinger Court,San Antonio,TX,78278,28,53818,0.7,14,395,97992,48,3
Larisa Beckhouse,3 Kenwood Drive,Saint Petersb,FL,33737,20,104349,0.75,4,456,81212,12,3
Jonathon Fraczak,893 Annamark Road,Seattle,WA,98115,77,135961,0.98,6,755,231613,53,4
Jacquelynn Kleimt,0 Clarendon Place,Oklahoma City,OK,73124,74,34948,0.92,11,724,81662,40,3
Jasen Lisciandri,7943 Di Loreto Hill,Salt Lake Cit,UT,84145,38,70926,1,5,306,143417,49,4
Shirline Macrow,46 Fair Oaks Crossing,Boston,MA,2298,35,59496,0.75,0,495,67602,25,1
Tomi Burness,22 Manley Junction,Albany,NY,12222,32,146692,0.76,4,502,304612,36,1
Sarette Pryor,55598 Trailsway Alley,Syracuse,NY,13224,48,139032,0.96,4,745,259005,36,1
Marina Soonhouse,3101 Arrowood Road,Las Vegas,NV,89105,61,30598,0.7,12,359,482021,32,4
Baxy Sackey,76 Carey Way,Lincoln,NE,68524,42,105870,0.72,6,416,13071,31,2
Dinny Dunwoody,53 Eagle Crest Trail,Shreveport,LA,71130,35,29407,0.7,9,386,57179,22,3
Murial Doulden,91 Dunning Pass,Pompano Beach,FL,33069,68,86461,0.98,7,785,199384,12,3
Rudolfo Reame,14395 Esch Crossing,Boston,MA,2298,49,144150,0.96,6,729,10561,25,1
Cristin Rann,578 Merchant Terrace,Sterling,VA,20167,53,76005,0.83,3,634,498113,51,3
Kakalina Chat,12219 Hoard Terrace,Boise,ID,83727,49,107199,0.92,1,721,95387,16,4
Sherilyn Titterell,54584 Duke Alley,New York City,NY,10009,65,140502,0.7,5,364,132273,36,1
Britni Layson,734 Cottonwood Juncti,Tucson,AZ,85705,32,65945,0.92,5,704,296073,4,4
Kellby Hadlee,82 Welch Place,Knoxville,TN,37919,41,98060,0.8,8,578,63000,47,3
Damiano Marmon,6 Jackson Terrace,Los Angeles,CA,90094,69,35098,0.96,5,748,398547,6,4
Waring Radmer,2 Anderson Court,Houston,TX,77245,78,49924,0.78,12,574,194548,48,3
Auberta Hamflett,0 Kedzie Court,Norfolk,VA,23509,71,82874,0.82,9,612,399501,51,3
Leland Adshead,816 Butternut Terrace,Huntington,WV,25716,39,108541,0.85,11,675,477888,54,3
Elysia Burgise,794 Hoard Crossing,Phoenix,AZ,85010,25,136791,0.82,0,623,209730,4,4
Collin Kenner,027 Village Green Ave,Saint Paul,MN,55108,79,84027,0.74,11,427,137222,27,2
Tomlin Muttitt,091 Moose Drive,Waco,TX,76796,50,79276,0.74,5,443,370213,48,3
Marlo Cosgrive,700 Havey Point,Akron,OH,44315,25,31190,0.98,14,761,238772,39,2
Myrtia Luney,3001 Pennsylvania Ave,Springfield,MA,1105,29,136574,1,1,336,366149,25,1
Emmerich Flexman,112 Golf Course Way,Port Saint Lu,FL,34985,41,133122,0.7,8,366,110847,12,3
Jobye MacRanald,9572 Petterle Junctio,Sioux Falls,SD,57198,57,38143,0.76,3,508,260031,46,2
Cazzie Eke,1243 Westerfield Road,Salt Lake Cit,UT,84120,56,57636,1,13,845,240406,49,4
Antonina Ithell,05602 Birchwood Road,San Diego,CA,92121,64,49893,0.83,15,633,220089,6,4
Ripley Bulleyn,94 Kim Court,Bridgeport,CT,6606,68,111496,1,2,326,5195,9,1
Mervin Creese,899 Novick Park,New York City,NY,10009,77,96389,0.99,0,821,405706,36,1
Cori Elsmere,2298 Huxley Park,Washington,DC,20546,52,46016,0.96,6,746,423013,11,3
Mamie Conduit,29 Thierer Park,Columbia,SC,29203,58,52090,0.72,9,415,103538,45,3
Ephraim Stolle,682 Esch Junction,Philadelphia,PA,19146,57,95158,0.99,14,808,120296,42,1
Ase Apfelmann,81 Monument Avenue,Lincoln,NE,68524,54,32590,0.74,8,433,98544,31,2
Menard Jaggard,8 Elmside Trail,Woburn,MA,1813,50,27296,0.7,11,368,459166,25,1
Salvidor Matusevich,67345 Fallview Street,Boca Raton,FL,33432,30,33117,1,12,844,361086,12,3
Danice Barreau,4600 Transport Juncti,Seattle,WA,98115,39,147345,0.8,5,584,90376,53,4
Brianne Blakeman,34451 Montana Junctio,Atlanta,GA,31119,28,54924,0.8,0,584,279787,13,3
Drud Beddows,00 Lunder Place,Washington,DC,20370,55,127355,0.85,0,660,142542,11,3
Rae Ricardet,60 Dennis Alley,Miami,FL,33124,72,111089,0.8,6,588,311018,12,3
Lonny Ayling,318 Hazelcrest Terrac,San Diego,CA,92191,65,109767,1,6,829,401238,6,4
Carolus Balloch,68 Jackson Drive,Woburn,MA,1813,29,147354,0.98,2,772,232903,25,1
Xever Ferreres,291 Shopko Terrace,Orange,CA,92668,59,116483,0.72,4,424,61175,6,4
Hyman Mergue,50 Sullivan Alley,Sarasota,FL,34276,69,68416,0.92,2,721,416223,12,3
Rochette Matthai,35776 Farwell Avenue,Jersey City,NJ,7305,27,57669,0.8,13,586,227598,34,1
Oliy Daykin,79227 Hudson Terrace,Atlanta,GA,30375,60,108487,0.78,8,575,467697,13,3
Dyann Goodoune,7 Amoth Drive,Charleston,WV,25336,33,143620,1,2,321,379451,54,3
Lilly Winny,179 Fremont Road,Tacoma,WA,98424,79,107521,1,11,829,451807,53,4
Faina Petras,84136 Lighthouse Bay,Fort Lauderda,FL,33355,72,122437,0.74,5,428,105630,12,3
Reynard Bayly,5 La Follette Center,Tacoma,WA,98411,40,104310,0.75,10,487,295488,53,4
Ines Grunguer,39127 Forest Dale Cir,Harrisburg,PA,17121,73,29100,0.99,0,825,118777,42,1
Kenn Whenman,27760 Bonner Terrace,Mobile,AL,36605,70,148946,0.7,5,383,435685,1,3
Jerrine Pasque,5735 Ridge Oak Terrac,Minneapolis,MN,55441,43,75368,0.99,5,821,238020,27,2
Lyon Hyndson,6 Village Point,Bronx,NY,10469,69,116322,0.99,7,803,17858,36,1
Vince Gaither,98699 Red Cloud Terra,Springfield,MA,1114,46,58930,0.92,15,706,456921,25,1
Ezra Shirt,54791 Schurz Place,Kansas City,MO,64114,47,42708,0.72,3,414,154762,29,2
Cullie Coppens,8 Nova Lane,Phoenix,AZ,85053,54,36203,0.76,5,507,248118,4,4
Paulette Coopper,6718 Kennedy Junction,Arlington,TX,76016,72,104636,0.92,12,706,362626,48,3
Kitti Casiroli,6979 Prairie Rose Par,Orlando,FL,32885,79,44603,0.78,10,570,353594,12,3
Minna Valek,971 Sutherland Court,Pocatello,ID,83206,38,61707,0.74,4,429,447210,16,4
Lisetta Toun,623 Bunker Hill Circl,Dayton,OH,45408,33,142079,0.74,14,436,283262,39,2
Clarke Hane,7615 Killdeer Center,Birmingham,AL,35290,78,133138,0.77,15,541,41762,1,3
Audra Balstone,859 Dawn Hill,Denver,CO,80235,36,119138,0.75,10,499,171701,8,4
Merrick Castrillo,850 Hayes Court,Omaha,NE,68164,65,58314,0.98,7,756,289702,31,2
Editha Mattin,8 Lotheville Crossing,Fairbanks,AK,99790,80,139741,0.88,6,689,171779,2,4
Lauraine Verryan,5 Paget Point,Miami,FL,33129,60,68463,0.78,9,561,437762,12,3
Lorena Findlater,54 Stephen Drive,San Francisco,CA,94132,64,81815,0.92,11,724,1223,6,4
Sibeal Fontanet,0723 Anniversary Park,Norwalk,CT,6854,54,105528,0.75,0,484,6863,9,1
Isacco Ridgwell,3669 Hallows Way,Scottsdale,AZ,85260,44,145695,0.92,6,707,82229,4,4
Agneta Isakovic,9457 Forster Drive,Lexington,KY,40576,49,149195,0.7,0,362,76261,21,3
Anni Fost,59 Havey Parkway,Louisville,KY,40256,23,141216,0.7,1,362,7494,21,3
Gib McAviy,75325 Dorton Pass,Cleveland,OH,44125,39,142971,0.96,13,731,241462,39,2
Jefferson McKimmie,167 Carey Terrace,Aurora,CO,80045,59,94373,0.8,14,592,192080,8,4
Randie Lidster,087 Carioca Circle,Boston,MA,2283,39,65571,0.98,14,767,315342,25,1
Brande Lemmon,4347 Oriole Center,San Diego,CA,92191,54,149879,1,10,333,484036,6,4
Brandea Mitcheson,1020 Prairie Rose Par,Springfield,IL,62705,37,49609,0.74,15,439,270975,17,2
Dukie Ellsom,1 1st Circle,Riverside,CA,92519,20,27437,0.88,8,680,7526,6,4
Kirsteni Tue,053 Ruskin Pass,New York City,NY,10105,78,83131,0.88,2,683,459995,36,1
Ethelin Gayne,5763 Russell Place,Petaluma,CA,94975,31,25638,0.96,0,745,311187,6,4
Menard Willavize,52 Summer Ridge Alley,Springfield,IL,62723,23,32002,0.75,5,484,465061,17,2
Hale Hanalan,0636 Hanson Drive,Denver,CO,80241,25,118338,0.7,4,372,3713,8,4
Sigismund McKie,61454 Wayridge Park,Milwaukee,WI,53234,37,110572,0.98,0,792,190957,55,2
Stillmann Shemilt,64714 Porter Way,Peoria,IL,61614,78,121885,0.96,6,738,237566,17,2
Gunilla Heed,0 Logan Court,Marietta,GA,30061,37,51841,0.88,5,693,482266,13,3
Davide Kesper,88933 Hoard Alley,Spokane,WA,99215,23,90267,0.78,0,570,274427,53,4
Billy McHarry,3179 Grim Way,Sacramento,CA,94207,71,47671,0.82,8,607,187558,6,4
Clo Flade,57 Roxbury Lane,Arlington,TX,76011,55,64670,0.72,1,412,438462,48,3
Britni Dedam,662 Cody Park,Washington,DC,20380,49,50202,0.75,10,475,62483,11,3
Daisi Moller,8289 Rieder Way,Long Beach,CA,90805,51,107744,1,11,339,83857,6,4
Lezlie Knocker,704 Oak Valley Parkwa,Pinellas Park,FL,34665,48,33085,0.74,15,442,148859,12,3
Ruby Tebb,49 Clemons Terrace,Houston,TX,77085,63,59634,0.83,9,649,5443,48,3
Prissie Swinney,680 Crescent Oaks Str,Cincinnati,OH,45233,76,96911,1,7,305,283292,39,2
Kelci Bassick,710 Schlimgen Terrace,Lake Charles,LA,70616,59,113117,0.72,15,401,376728,22,3
Frayda Zini,1568 Buell Avenue,Los Angeles,CA,90087,36,51274,0.78,12,565,160113,6,4
Janet Pavlovsky,0328 Clyde Gallagher,New York City,NY,10165,66,106559,1,12,323,48570,36,1
Archambault Stentifor,821 Bay Point,Los Angeles,CA,90020,70,123794,0.75,5,490,285396,6,4
Grantham Whapple,39819 Armistice Place,Memphis,TN,38150,64,25678,0.75,10,471,93303,47,3
Danika Easthope,953 Melby Terrace,Hot Springs N,AR,71914,79,114956,1,6,337,478807,5,3
Natassia Espinheira,98032 Orin Crossing,Orange,CA,92668,77,33455,0.92,12,725,45193,6,4
Sadella Purdy,6981 Duke Court,Marietta,GA,30066,61,92841,0.98,15,785,79625,13,3
Flo Saundercock,2284 Fulton Point,San Francisco,CA,94121,42,78178,0.98,3,766,493176,6,4
Ruprecht Robard,194 Macpherson Drive,San Jose,CA,95194,69,136665,0.96,4,727,266521,6,4
Carie Piolli,164 Barnett Center,Honolulu,HI,96805,80,34252,0.72,15,409,73883,15,4
Fredia Nursey,01203 Onsgard Circle,Oakland,CA,94611,43,52075,0.92,15,714,201086,6,4
Rutter Haug,81144 Hovde Alley,Bronx,NY,10474,78,31084,0.88,11,695,158235,36,1
Marietta Arons,42 Mosinee Street,Saint Petersb,FL,33710,34,144443,0.82,12,615,207684,12,3
Ami Snufflebottom,36 La Follette Road,Columbus,OH,43215,72,122178,0.76,4,505,248593,39,2
Kristofor Matieu,722 Carioca Park,Kansas City,MO,64187,66,112399,0.92,6,703,390315,29,2
Vaclav Maypother,92 Kedzie Circle,Rochester,NY,14604,65,62738,0.85,14,656,456057,36,1
Puff Evetts,304 Lukken Street,Stamford,CT,6922,60,53703,0.8,7,578,402899,9,1
Halie Layton,893 Buhler Crossing,Houston,TX,77255,20,135611,0.98,6,788,38077,48,3
Frederic Ladds,2473 Commercial Cross,Cincinnati,OH,45223,58,149197,0.85,7,669,74104,39,2
Park Gaylor,47781 Towne Street,Syracuse,NY,13210,42,101092,0.8,9,582,104171,36,1
Alfred Hegdonne,91105 Londonderry Str,Montgomery,AL,36125,28,29442,0.78,3,559,42892,1,3
Taffy Tomashov,7 Kenwood Street,Sacramento,CA,94237,22,146517,0.82,7,604,289982,6,4
Natale Cronchey,1425 Monica Lane,Dallas,TX,75226,56,99615,0.74,7,450,291401,48,3
Bebe Danick,19 Messerschmidt Poin,Philadelphia,PA,19120,29,124105,0.72,10,402,173613,42,1
Griselda Batthew,1 Mayer Place,Newton,MA,2458,65,60288,0.75,10,481,278481,25,1
Jobyna Buterton,43 Monica Place,Spring,TX,77386,68,126622,0.72,5,419,370595,48,3
Torey Gilphillan,102 Elgar Alley,Pensacola,FL,32575,52,131628,0.75,3,496,345433,12,3
Maxy Latehouse,9 Victoria Place,Saint Cloud,MN,56372,37,85568,0.72,2,412,421192,27,2
Gaylene Andreia,556 Comanche Crossing,Spokane,WA,99252,44,49791,0.75,10,458,76333,53,4
Wren Dowding,57654 Dexter Street,Evansville,IN,47737,53,93416,1,8,831,97390,18,2
Ax Robuchon,16398 Basil Hill,Decatur,GA,30089,20,131801,0.72,10,406,2612,13,3
Haslett Stott,48 Dottie Center,Las Vegas,NV,89166,63,89932,0.8,9,578,346013,32,4
Alasdair Eberlein,838 Sutteridge Alley,Dallas,TX,75323,55,95637,0.98,13,773,395857,48,3
Sarita Chawner,0 Merchant Street,Omaha,NE,68144,32,54373,0.77,2,527,409392,31,2
Zebulen Musterd,85 Express Terrace,Atlanta,GA,30306,75,126918,0.88,12,678,257985,13,3
Wandie Penddreth,95458 Portage Place,Baton Rouge,LA,70810,48,99254,1,4,349,341844,22,3
Alia McOwan,149 Ilene Lane,Pasadena,CA,91125,48,104814,0.77,4,533,433144,6,4
Shalne Stainburn,22 Old Gate Plaza,Buffalo,NY,14215,58,38655,0.96,11,736,237316,36,1
Lombard Winkett,990 Holy Cross Lane,Littleton,CO,80126,71,146431,0.85,1,666,324648,8,4
Amber Steptow,5 Coolidge Way,Houston,TX,77271,31,110350,0.8,11,597,47988,48,3
Adda Josifovic,5430 Sloan Pass,Berkeley,CA,94712,65,128354,0.75,11,495,278983,6,4
Helen Spur,1 Carioca Center,Hartford,CT,6120,32,35586,0.98,7,795,497957,9,1
Devy Kelberer,3872 Macpherson Trail,Asheville,NC,28815,33,124380,1,13,303,144260,37,3
Doroteya Peat,9 Twin Pines Hill,Orange,CA,92668,50,112152,1,4,838,273603,6,4
Martyn Kinchley,09 Petterle Hill,San Jose,CA,95150,65,34505,0.92,6,711,134315,6,4
Rozamond Rego,8090 Spenser Parkway,Wichita,KS,67230,57,131936,0.96,8,744,160002,20,2
Micheil Holliar,2 Elgar Way,Jacksonville,FL,32236,23,38150,0.92,11,719,252730,12,3
Jayson Pimley,86 Petterle Terrace,Lancaster,CA,93584,31,119379,0.99,7,800,141159,6,4
Felix Husselbee,69821 Luster Place,Minneapolis,MN,55428,75,43438,0.98,3,776,131238,27,2
Hayes Alkins,77 Summerview Pass,New Orleans,LA,70165,48,84319,0.88,13,676,287844,22,3
Dinah Bradburn,786 Sherman Pass,Dallas,TX,75397,52,89905,0.78,14,568,278360,48,3
Cosette Aarons,44107 Ryan Plaza,Saint Paul,MN,55115,28,116089,0.6,8,300,132996,27,2
Kelsey Ephgrave,0756 Kipling Road,Tallahassee,FL,32304,73,50120,0.74,12,438,424599,12,3
Vanna Comellini,7 Forest Dale Street,Las Vegas,NV,89145,52,67733,0.8,2,588,171816,32,4
Garrick Black,71 Golf Street,Tyler,TX,75705,61,139420,0.83,1,646,112962,48,3
Camila MacGille,1479 Atwood Plaza,San Diego,CA,92176,80,120461,0.74,8,441,136962,6,4
Barty Gosenell,47 Crest Line Point,Fort Worth,TX,76162,46,83037,0.99,0,806,380863,48,3
Clevey Jeskins,88601 Browning Circle,Philadelphia,PA,19160,58,68430,0.85,4,657,388510,42,1
Michale Mouncher,3675 Michigan Plaza,Tulsa,OK,74133,69,41836,1,7,848,52673,40,3
Katlin Heigold,5 Sutherland Drive,Des Moines,IA,50362,74,131683,1,1,318,494882,19,2
Lyndsey Standell,7 Weeping Birch Road,Oakland,CA,94605,26,51609,1,10,305,28721,6,4
Andros Villiers,308 Lerdahl Pass,Rochester,NY,14614,46,26214,0.7,12,357,142558,36,1
Doroteya Pierton,7 Manufacturers Parkw,Boca Raton,FL,33432,48,58899,0.96,14,737,312947,12,3
Ransell Stockney,500 Jay Plaza,Santa Monica,CA,90410,61,52002,0.85,15,675,305887,6,4
Brit Saynor,6543 Clemons Pass,Roanoke,VA,24024,32,70580,0.7,13,376,331723,51,3
Vonni Saint,49064 Norway Maple Te,Akron,OH,44305,28,29353,1,8,842,384397,39,2
Flss Donnell,55 Fair Oaks Drive,Washington,DC,20540,27,51702,0.75,9,461,152609,11,3
Adrianna Gough,4 Garrison Terrace,Los Angeles,CA,90081,26,62940,0.88,7,680,232092,6,4
Teador Dargue,5804 Moose Road,Mc Keesport,PA,15134,54,142596,0.78,5,553,485014,42,1
Lorrie Fortescue,10774 Autumn Leaf All,Lancaster,PA,17605,57,101703,0.82,5,625,265722,42,1
Tore Madre,930 Dahle Center,Birmingham,AL,35205,39,41443,1,1,327,417275,1,3
Ellynn Parnaby,36 Gerald Plaza,Arlington,VA,22205,68,25273,0.74,4,430,189119,51,3
Lorant Pidduck,2321 Arkansas Trail,Vancouver,WA,98682,41,121752,1,5,350,436269,53,4
Gypsy Verity,2496 Village Plaza,Phoenix,AZ,85077,75,105914,1,9,345,351540,4,4
Sherman Rumin,0915 Goodland Circle,Bronx,NY,10474,57,77685,0.99,14,808,228743,36,1
Dmitri Hoys,2 Aberg Junction,Fort Lauderda,FL,33315,48,50950,0.92,3,701,36301,12,3
Gustavo Jandourek,05973 Grim Plaza,Washington,DC,20226,56,61082,0.72,6,404,135885,11,3
Max Eloi,4 Cody Trail,Apache Juncti,AZ,85219,48,56941,0.98,2,765,411998,4,4
Wynnie Brisco,854 Spenser Road,Washington,DC,20436,74,132326,0.75,9,454,374564,11,3
Allegra Mowbray,62 Gateway Avenue,Portland,ME,4109,56,56308,0.75,7,468,72227,23,1
Tobias Wigley,39 Dakota Parkway,Des Moines,IA,50369,79,106059,0.74,7,432,420258,19,2
Cammy Mannin,77098 Basil Street,Dallas,TX,75392,57,141858,0.99,2,819,375788,48,3
Anne-corinne Golder,979 Warner Circle,Spokane,WA,99220,55,126910,0.76,4,507,27319,53,4
Zia Crouch,1 Center Court,Phoenix,AZ,85053,33,71545,0.88,10,679,431029,4,4
Brynne Forson,06738 Northland Point,San Antonio,TX,78210,31,127239,0.74,0,435,333155,48,3
Ravi Bowker,3 Kipling Terrace,Dallas,TX,75310,24,110461,1,7,831,168020,48,3
Vanya Oddy,3 Autumn Leaf Way,Colorado Spri,CO,80951,67,64803,0.83,15,631,96223,8,4
Shirl Bushby,292 Pepper Wood Pass,Davenport,IA,52804,43,96153,0.78,7,553,32653,19,2
Theda Makeswell,57530 Rigney Parkway,Lubbock,TX,79452,69,93139,0.75,3,494,456728,48,3
Jude McLaughlin,7545 Elgar Alley,Chicago,IL,60619,54,44767,0.72,5,416,82390,17,2
Vittorio Josilowski,68562 Stang Center,Bethesda,MD,20892,67,96281,0.78,8,572,13733,24,3
Edward Klimp,9060 Huxley Avenue,Sterling,VA,20167,26,81298,0.7,8,379,80915,51,3
Gonzales Leate,27 Lukken Plaza,Salt Lake Cit,UT,84105,77,43887,0.7,11,357,447363,49,4
Lionello Bennedsen,3 Morning Street,Lafayette,LA,70593,77,146702,0.75,9,485,132640,22,3
Wanda Alfonso,36 Prairie Rose Terra,Trenton,NJ,8695,77,92292,1,7,322,262699,34,1
Orbadiah McGuirk,11525 Oak Valley Hill,Las Vegas,NV,89160,77,40687,0.96,5,736,229588,32,4
Saundra Daniellot,4 Prentice Trail,South Bend,IN,46620,26,135745,0.92,8,708,467029,18,2
Esteban Lancashire,2596 Del Mar Junction,San Diego,CA,92176,73,122333,0.88,1,678,48054,6,4
Tommy Schulter,7 Magdeline Court,Philadelphia,PA,19146,21,38789,0.98,14,768,343467,42,1
Nanette Zouch,8858 Becker Hill,Salt Lake Cit,UT,84199,22,129802,0.82,5,617,449886,49,4
Angelique O' Mahony,41 Pepper Wood Park,Frankfort,KY,40618,28,66582,0.75,8,458,259735,21,3
Marinna Belderfield,101 Manufacturers Pla,Myrtle Beach,SC,29579,34,87422,1,10,336,462238,45,3
Cissy Durie,8 Vahlen Circle,San Antonio,TX,78260,25,64645,0.88,8,686,92270,48,3
Tynan Fishbie,64505 Southridge Driv,Lafayette,IN,47905,66,83970,0.78,15,555,216534,18,2
Vonny Mabbott,0 Golf View Lane,Chattanooga,TN,37416,48,106993,0.76,11,514,409577,47,3
Wynn Bullingham,82 Old Shore Lane,Des Moines,IA,50362,29,89115,0.77,4,542,106082,19,2
Elonore Sunman,24 Old Shore Avenue,Erie,PA,16522,60,115687,0.96,14,745,116360,42,1
Quinton Prawle,354 Butternut Drive,Lexington,KY,40576,20,131279,0.85,15,667,163353,21,3
Marty Mazzilli,241 Washington Juncti,Round Rock,TX,78682,54,142102,0.82,12,612,417596,48,3
Zenia Ginglell,806 Caliangt Park,Reading,PA,19605,57,54312,0.76,10,516,125353,42,1
Francyne Gerin,610 Bay Pass,Lexington,KY,40596,58,135533,0.7,1,355,90590,21,3
Aigneis Kirkebye,5228 5th Court,Roanoke,VA,24004,71,107274,0.75,8,481,267705,51,3
Jeanelle Albiston,0819 Lotheville Place,New Orleans,LA,70154,70,141096,0.92,7,725,277617,22,3
Una Brownsall,06567 Mcbride Center,Pittsburgh,PA,15215,73,78768,0.85,0,666,80518,42,1
Mohandis Chetham,929 Menomonie Street,Denver,CO,80299,71,61526,0.98,15,789,213716,8,4
Gates Quick,15129 Burning Wood Co,Mansfield,OH,44905,41,147126,0.77,0,537,117198,39,2
Esdras Espinosa,6127 Ridgeview Juncti,Houston,TX,77223,44,57676,1,14,838,484976,48,3
Felisha Kacheller,02884 Crest Line Trai,New York City,NY,10120,35,121719,0.83,6,651,53965,36,1
Dawn Butte,2 Lighthouse Bay Plaz,Huntington Be,CA,92648,65,49356,1,4,843,483955,6,4
Garrard Verman,14306 Judy Street,Birmingham,AL,35244,25,52463,0.98,1,796,291884,1,3
Ted Wheadon,5 Harper Plaza,Saint Paul,MN,55127,37,125507,0.72,11,410,419674,27,2
Torrey Prior,42 Maryland Avenue,Santa Ana,CA,92725,28,84278,0.7,1,392,447646,6,4
Nye Bartolomeazzi,08861 Heffernan Trail,Detroit,MI,48224,31,63770,0.82,10,619,363558,26,2
Carola Christescu,6960 Cody Circle,Boise,ID,83711,48,63857,1,13,301,131462,16,4
Nanete McVicker,1214 Fallview Pass,Washington,DC,20470,37,86395,0.98,5,781,193464,11,3
Byron Martinets,56213 Shelley Point,Mesa,AZ,85210,75,100129,0.78,12,559,220294,4,4
Hank Francesch,8261 Cherokee Center,Washington,DC,20041,44,46351,0.77,14,539,456395,11,3
Cindi Geekin,43152 Melrose Circle,Bakersfield,CA,93386,73,40125,0.98,9,785,394789,6,4
Linzy Melross,09 Charing Cross Way,Danbury,CT,6816,35,136624,0.98,1,764,156182,9,1
Conroy Coggles,3672 Delladonna Terra,New Orleans,LA,70179,43,57896,0.99,2,806,152605,22,3
Jasmin Whinney,6 Lakewood Alley,Winston Salem,NC,27150,67,49492,0.76,9,518,162508,37,3
Curtis Phelip,9247 Memorial Alley,Washington,DC,20566,44,145111,0.96,3,727,247163,11,3
Minni O'Reagan,6749 Autumn Leaf Park,Washington,DC,20503,78,68567,0.99,0,817,107074,11,3
Everett Pedrielli,8752 Carberry Lane,Charlotte,NC,28289,26,87114,0.96,11,726,363883,37,3
Jillane Gillbee,243 Moose Way,Austin,TX,78789,48,77064,1,2,305,180862,48,3
Garry Habeshaw,997 6th Drive,Lubbock,TX,79491,52,146156,0.98,0,753,124798,48,3
John Gon,4 Del Mar Trail,Washington,DC,20041,78,141769,0.75,4,463,387310,11,3
Micheil MacGrath,09 Mcbride Way,Alexandria,VA,22309,51,144145,1,7,827,2082,51,3
Vere Vogele,8578 Brown Drive,Louisville,KY,40256,32,25723,0.85,12,665,398878,21,3
Stephannie Sawdy,4230 Knutson Crossing,Mobile,AL,36670,60,112495,0.98,8,778,140852,1,3
Elvyn Beddingham,2 Fulton Street,Bradenton,FL,34282,49,36018,0.72,8,413,50466,12,3
Early Brettor,44152 Nelson Point,New York City,NY,10275,25,133192,0.98,0,761,321610,36,1
Wylma Schulze,231 Declaration Point,Kansas City,MO,64193,30,134002,0.72,9,401,219464,29,2
Alanah Seargeant,26151 Schlimgen Point,Fort Pierce,FL,34949,76,48995,1,5,310,42158,12,3
Ford Wallwood,4 Manufacturers Cente,Phoenix,AZ,85040,63,96729,0.72,6,415,390982,4,4
Allard Francecione,8 Dahle Crossing,Santa Monica,CA,90410,33,103160,0.7,10,388,258615,6,4
Herta Gibbin,5937 4th Parkway,San Jose,CA,95194,20,39292,0.83,1,655,308364,6,4
Lanny Hail,73 Loomis Point,Harrisburg,PA,17105,80,91199,1,15,327,386790,42,1
